Partners in crime,Agatha Christie,978-954-389-359-1,Agatha Christie's crime-fighting duo/ Tommy and Tuppence Beresford/ solve mysteries and search for enemy spies in 1950s Britain. Set in the leafy suburbs of 1950s London/ the Beresfords find themselves in need of some adventure in their lives.,divinecomedy
Harry Potter and the Philosopher's stone,J.K. Rowling,978-954-27-1530-6,It is a story about Harry Potter/ an orphan brought up by his aunt and uncle because his parents were killed when he was a baby. Harry is unloved by his uncle and aunt but everything changes when he is invited to join Hogwarts School of Witchcraft and Wizardry and he finds out he's a wizard.,divinecomedy
Sapiens: Short history of humankind,Uval Noah Harari,619152950-3,"Sapiens" takes it's readers on a long journey through the history of our kind. The remarkable erudition of Harari sheds some light on one of the most revolutional changes in the history of humankind. This is a-must for every sapiens out there/ who thinks - who deserves it's name.,divinecomedy
The call of the wild,Jack London,978-954-107-3,The Call of the Wild is a vibrant story of Buck/ a big and kindhearted dog/ a crossbreed between a St. Bernard and a Scotch Collie/ whose carefree life of leisure was suddenly upset when he was stolen from his home in Santa Clara County/ California and deported up north/ to be sold in Skagway/ Alaska/ and taken further north/ to Dawson City/ Yukon/ during the late 1890s Klondike Gold Rush/ when strong sled dogs were in high demand.,divinecomedy
Inferno,Dan Brown,978-954-655-409-3,When a leather-clad assassin storms the hospital/ Langdon is forced to flee with the beautiful doctor Sienna Brooks. Running from the assassin as well as the police/ Langdon and Brooks are drawn into a devious plot that centers on one of the world's most mysterious literary masterpieces/ Dante's Inferno.,divinecomedy
A hitchhiker's guide to the Galaxy,Douglas Addams,978-954-585-336-4,The saga mocks modern society with humour and cynicism and has as its hero a hapless/ deeply ordinary Englishman (Arthur Dent) who unexpectedly finds himself adrift in a universe characterized by randomness and absurdity.,divinecomedy
The Casual Vacancy,J.K. Rowling,9-786191-501007,The Casual Vacancy is an adult mystery novel by J.K. Rowling/ centers on a vacant council seat in an English political constituency and the fight between various locals who want the seat for themselves.,divinecomedy
The world of Poo,Terry Pratchett,9789544221058,The story follows young Geoffrey as he visits the great city of Ankh-Morpork and suddenly realises that he has a great interest in poo! The story is told for children and is littered with footnotes detailing the many various types of poo encountered through the story/ their miscellaneous uses/ and average quantities.,divinecomedy
To kill a mockingbird,Harper Lee,9780446310499,To Kill a Mockingbird is both a young girl's coming-of-age story and a darker drama about the roots and consequences of racism and prejudice/ probing how good and evil can coexist within a single community or individual.
Beyond the wall of sleep,H.P. Lovecraft,9786191571178,Beyond the Wall of Sleep is a poor follow-up to Polaris/ offering a problematic narrative that is much more straightforward than its predecessor – losing part of its appeal in the process/ as “straightforward” is not something you can usually call a dream – and much/ much more racist as well.,divinecomedy
Rosen's Autobiography,Rojen Gumanov,9780060888695,A wannabe junior/ with the knowledge of an intern.,divinecomedy
The Girl With The Dragon Tattoo,Steig Larsson,9780143177289,Disgraced financial reporter Mikael Blomkvist (Daniel Craig) finds a chance to redeem his honor after being hired by wealthy Swedish industrialist Henrik Vanger (Christopher Plummer) to solve the 40-year-old murder of Vanger's niece/ Harriet. Vanger believes that Harriet was killed by a member of his own family. Eventually joining Blomkvist on his dangerous quest for the truth is Lisbeth Salander (Rooney Mara)/ an unusual but ingenious investigator whose fragile trust is not easily won.,stefi
The Girl Who Played with Fire,Stieg Larsson,9780307269980,As Blomkvist/ alone in his belief in Salander's innocence/ plunges into an investigation of the slayings/ Salander herself is drawn into a murderous hunt in which she is the prey/ and which compels her to revisit her dark past in an effort to settle with it once and for all.,stefi
Career of Evil ,Robert Galbraith,9-786191-507917,After murdering a woman/ an unidentified man stalks Robin Ellacott/ whom he sees as part of his plan to exact revenge against private investigator Cormoran Strike. Robin/ having worked for Strike for a year/ is now a full-time investigator in addition to being his secretary.,divinecomedy
